faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
17-21,Masculino,Branca,18,Não,,RS,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Dados/Data Analyst,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,18,Não,,SC,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de BI/BI Analyst,Menos de R$ 1.000/mês,Menos de 1 ano,,0.0,,0.0
17-21,Masculino,Parda,18,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,1.0,1.0,0.0,0.0
17-21,Masculino,Branca,18,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Dados/Data Analyst,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,,1.0,,0.0
17-21,Masculino,Branca,18,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,,0.0,,0.0
17-21,Masculino,Parda,18,Sim,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,,1.0,,0.0
17-21,Masculino,Parda,18,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Outra Opção,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,,1.0,,0.0
17-21,Masculino,Parda,18,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MA,Não tenho graduação formal,,Estagiário,Outra Opção,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,,0.0,,0.0
17-21,Masculino,Parda,18,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,1.0,1.0,0.0,0.0
17-21,Masculino,Branca,18,Não,,MG,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,0.0,1.0,0.0,0.0
17-21,Masculino,Branca,18,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,,1.0,,1.0
17-21,Masculino,Branca,19,Não,,SC,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Preta,19,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,,0.0,,0.0
17-21,Feminino,Branca,19,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",PR,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Branca,19,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de Negócios/Business Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,,0.0,,0.0
17-21,Masculino,Branca,19,Não,,MT,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,1.0,0.0,0.0,0.0
17-21,Masculino,Branca,19,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Outra Opção,Menos de R$ 1.000/mês,Menos de 1 ano,0.0,0.0,1.0,1.0
17-21,Masculino,Parda,19,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,GO,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Negócios/Business Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,,1.0,,0.0
